freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
16.809619,-2850.773437,321.7720,-1425.437334,643.5668,-637.480991,1439.0728,-285.090706,3217.8706
16.907816,-2859.088749,322.7105,-1429.594843,645.4439,-639.340268,1443.2700,-285.922198,3227.2558
17.006012,-2867.379948,323.6464,-1433.740296,647.3155,-641.194154,1447.4550,-286.751280,3236.6138
17.104208,-2875.647240,324.5795,-1437.873798,649.1817,-643.042695,1451.6280,-287.577971,3245.9448
17.202405,-2883.890833,325.5100,-1441.995451,651.0426,-644.885937,1455.7890,-288.402292,3255.2491
17.300601,-2892.110929,326.4378,-1446.105357,652.8982,-646.723926,1459.9381,-289.224264,3264.5269
17.398798,-2900.307727,327.3630,-1450.203615,654.7485,-648.556706,1464.0755,-290.043907,3273.7783
17.496994,-2908.481425,328.2856,-1454.290324,656.5936,-650.384321,1468.2012,-290.861240,3283.0037
17.595190,-2916.632217,329.2056,-1458.365581,658.4335,-652.206815,1472.3154,-291.676282,3292.2032
17.693387,-2924.760293,330.1230,-1462.429482,660.2683,-654.024230,1476.4181,-292.489054,3301.3771
17.791583,-2932.865844,331.0379,-1466.482121,662.0980,-655.836609,1480.5094,-293.299573,3310.5256
17.889780,-2940.949056,331.9503,-1470.523591,663.9227,-657.643993,1484.5895,-294.107858,3319.6489
17.987976,-2949.010111,332.8601,-1474.553985,665.7424,-659.446424,1488.6583,-294.913928,3328.7471
18.086172,-2957.049192,333.7675,-1478.573392,667.5571,-661.243942,1492.7161,-295.717801,3337.8206
18.184369,-2965.066477,334.6724,-1482.581903,669.3669,-663.036587,1496.7629,-296.519495,3346.8695
18.282565,-2973.062142,335.5749,-1486.579604,671.1718,-664.824397,1500.7988,-297.319027,3355.8939
18.380762,-2981.036361,336.4750,-1490.566584,672.9718,-666.607414,1504.8238,-298.116414,3364.8942
18.478958,-2988.989306,337.3727,-1494.542928,674.7671,-668.385673,1508.8381,-298.911675,3373.8704
18.577154,-2996.921147,338.2679,-1498.508720,676.5576,-670.159214,1512.8418,-299.704825,3382.8229
18.675351,-3004.832050,339.1609,-1502.464045,678.3434,-671.928074,1516.8349,-300.495882,3391.7517
18.773547,-3012.722180,340.0514,-1506.408985,680.1245,-673.692290,1520.8175,-301.284862,3400.6570
18.871743,-3020.591700,340.9397,-1510.343620,681.9009,-675.451897,1524.7897,-302.071781,3409.5391
18.969940,-3028.440772,341.8256,-1514.268032,683.6727,-677.206933,1528.7516,-302.856656,3418.3981
19.068136,-3036.269552,342.7093,-1518.182299,685.4400,-678.957432,1532.7032,-303.639501,3427.2343
19.166333,-3044.078199,343.5906,-1522.086501,687.2027,-680.703429,1536.6447,-304.420334,3436.0477
19.264529,-3051.866866,344.4698,-1525.980713,688.9609,-682.444960,1540.5761,-305.199168,3444.8385
19.362725,-3059.635706,345.3466,-1529.865013,690.7146,-684.182057,1544.4975,-305.976021,3453.6070
19.460922,-3067.384870,346.2213,-1533.739476,692.4639,-685.914755,1548.4089,-306.750906,3462.3532
19.559118,-3075.114507,347.0938,-1537.604176,694.2087,-687.643088,1552.3105,-307.523838,3471.0775
19.657315,-3082.824763,347.9640,-1541.459187,695.9492,-689.367087,1556.2023,-308.294833,3479.7798
19.755511,-3090.515783,348.8321,-1545.304580,697.6854,-691.086785,1560.0844,-309.063904,3488.4605
19.853707,-3098.187711,349.6981,-1549.140429,699.4172,-692.802215,1563.9569,-309.831066,3497.1196
19.951904,-3105.840688,350.5619,-1552.966803,701.1447,-694.513408,1567.8198,-310.596334,3505.7573
20.050100,-3113.474854,351.4236,-1556.783772,702.8681,-696.220395,1571.6732,-311.359720,3514.3738
