h2_um,eta2_Pas,T_abs
23.2727,0.162975,0.00000006
23.7677,0.162975,0.00000004
24.2626,0.162975,0.00000003
24.7576,0.162975,0.00000002
25.2525,0.162975,0.00000002
25.7475,0.162975,0.00000001
26.2424,0.162975,0.00000001
26.7374,0.162975,0.00000001
27.2323,0.162975,0.00000000
27.7273,0.162975,0.00000000
28.2222,0.162975,0.00000000
28.7172,0.162975,0.00000000
29.2121,0.162975,0.00000000
29.7071,0.162975,0.00000000
30.2020,0.162975,0.00000000
30.6970,0.162975,0.00000000
31.1919,0.162975,0.00000000
31.6869,0.162975,0.00000000
32.1818,0.162975,0.00000000
32.6768,0.162975,0.00000000
33.1717,0.162975,0.00000000
33.6667,0.162975,0.00000000
34.1616,0.162975,0.00000000
34.6566,0.162975,0.00000000
35.1515,0.162975,0.00000000
35.6465,0.162975,0.00000000
36.1414,0.162975,0.00000000
36.6364,0.162975,0.00000000
37.1313,0.162975,0.00000000
37.6263,0.162975,0.00000000
38.1212,0.162975,0.00000000
38.6162,0.162975,0.00000000
39.1111,0.162975,0.00000000
39.6061,0.162975,0.00000000
40.1010,0.162975,0.00000000
40.5960,0.162975,0.00000000
41.0909,0.162975,0.00000000
41.5859,0.162975,0.00000000
42.0808,0.162975,0.00000000
42.5758,0.162975,0.00000000
43.0707,0.162975,0.00000000
43.5657,0.162975,0.00000000
44.0606,0.162975,0.00000000
44.5556,0.162975,0.00000000
45.0505,0.162975,0.00000000
45.5455,0.162975,0.00000000
46.0404,0.162975,0.00000000
46.5354,0.162975,0.00000000
47.0303,0.162975,0.00000000
47.5253,0.162975,0.00000000
48.0202,0.162975,0.00000000
48.5152,0.162975,0.00000000
49.0101,0.162975,0.00000000
49.5051,0.162975,0.00000000
50.0000,0.162975,0.00000000
1.0000,0.174753,0.07445807
1.4949,0.174753,0.04974017
1.9899,0.174753,0.03648400
2.4848,0.174753,0.02764718
2.9798,0.174753,0.02101957
3.4747,0.174753,0.01584691
3.9697,0.174753,0.01183568
4.4646,0.174753,0.00878684
4.9596,0.174753,0.00650675
5.4545,0.174753,0.00481599
5.9495,0.174753,0.00356575
6.4444,0.174753,0.00264123
6.9394,0.174753,0.00195701
7.4343,0.174753,0.00145025
7.9293,0.174753,0.00107474
8.4242,0.174753,0.00079646
8.9192,0.174753,0.00059022
9.4141,0.174753,0.00043738
9.9091,0.174753,0.00032412
10.4040,0.174753,0.00024018
10.8990,0.174753,0.00017798
11.3939,0.174753,0.00013189
11.8889,0.174753,0.00009774
12.3838,0.174753,0.00007243
12.8788,0.174753,0.00005367
13.3737,0.174753,0.00003977
13.8687,0.174753,0.00002947
14.3636,0.174753,0.00002184
14.8586,0.174753,0.00001618
15.3535,0.174753,0.00001199
15.8485,0.174753,0.00000889
16.3434,0.174753,0.00000659
16.8384,0.174753,0.00000488
17.3333,0.174753,0.00000362
17.8283,0.174753,0.00000268
18.3232,0.174753,0.00000199
18.8182,0.174753,0.00000147
19.3131,0.174753,0.00000109
19.8081,0.174753,0.00000081
20.3030,0.174753,0.00000060
20.7980,0.174753,0.00000044
