h2_um,E2_Pa,T_abs
1.4949,159.23,0.49611390
1.9899,159.23,0.39128120
2.4848,159.23,0.32287066
2.9798,159.23,0.27481059
3.4747,159.23,0.23916718
3.9697,159.23,0.21160449
4.4646,159.23,0.18956072
4.9596,159.23,0.17142764
5.4545,159.23,0.15614638
5.9495,159.23,0.14299346
6.4444,159.23,0.13146065
6.9394,159.23,0.12118404
7.4343,159.23,0.11190026
7.9293,159.23,0.10341824
8.4242,159.23,0.09560003
8.9192,159.23,0.08834711
9.4141,159.23,0.08159010
9.9091,159.23,0.07528070
10.4040,159.23,0.06938533
10.8990,159.23,0.06388000
11.3939,159.23,0.05874647
11.8889,159.23,0.05396941
12.3838,159.23,0.04953443
12.8788,159.23,0.04542698
13.3737,159.23,0.04163177
13.8687,159.23,0.03813260
14.3636,159.23,0.03491251
14.8586,159.23,0.03195406
15.3535,159.23,0.02923962
15.8485,159.23,0.02675174
16.3434,159.23,0.02447338
16.8384,159.23,0.02238817
17.3333,159.23,0.02048055
17.8283,159.23,0.01873587
18.3232,159.23,0.01714047
18.8182,159.23,0.01568166
19.3131,159.23,0.01434776
19.8081,159.23,0.01312800
20.3030,159.23,0.01201253
20.7980,159.23,0.01099234
21.2929,159.23,0.01005919
21.7879,159.23,0.00920556
22.2828,159.23,0.00842460
22.7778,159.23,0.00771007
23.2727,159.23,0.00705626
23.7677,159.23,0.00645798
24.2626,159.23,0.00591047
24.7576,159.23,0.00540941
25.2525,159.23,0.00495084
25.7475,159.23,0.00453116
26.2424,159.23,0.00414705
26.7374,159.23,0.00379549
27.2323,159.23,0.00347374
27.7273,159.23,0.00317925
28.2222,159.23,0.00290972
28.7172,159.23,0.00266303
29.2121,159.23,0.00243726
29.7071,159.23,0.00223062
30.2020,159.23,0.00204150
30.6970,159.23,0.00186841
31.1919,159.23,0.00170999
31.6869,159.23,0.00156500
32.1818,159.23,0.00143231
32.6768,159.23,0.00131087
33.1717,159.23,0.00119972
33.6667,159.23,0.00109799
34.1616,159.23,0.00100490
34.6566,159.23,0.00091969
35.1515,159.23,0.00084171
35.6465,159.23,0.00077034
36.1414,159.23,0.00070503
36.6364,159.23,0.00064525
37.1313,159.23,0.00059054
37.6263,159.23,0.00054047
38.1212,159.23,0.00049464
38.6162,159.23,0.00045270
39.1111,159.23,0.00041432
39.6061,159.23,0.00037919
40.1010,159.23,0.00034704
40.5960,159.23,0.00031761
41.0909,159.23,0.00029068
41.5859,159.23,0.00026603
42.0808,159.23,0.00024348
42.5758,159.23,0.00022283
43.0707,159.23,0.00020394
43.5657,159.23,0.00018665
44.0606,159.23,0.00017082
44.5556,159.23,0.00015634
45.0505,159.23,0.00014308
45.5455,159.23,0.00013095
46.0404,159.23,0.00011985
46.5354,159.23,0.00010969
47.0303,159.23,0.00010039
47.5253,159.23,0.00009187
48.0202,159.23,0.00008408
48.5152,159.23,0.00007696
49.0101,159.23,0.00007043
49.5051,159.23,0.00006446
50.0000,159.23,0.00005899
1.0000,174.75,0.67451335
1.4949,174.75,0.49611389
1.9899,174.75,0.39128120
2.4848,174.75,0.32287066
2.9798,174.75,0.27481059
3.4747,174.75,0.23916718
3.9697,174.75,0.21160449
4.4646,174.75,0.18956072
4.9596,174.75,0.17142764
5.4545,174.75,0.15614638
5.9495,174.75,0.14299346
6.4444,174.75,0.13146066
6.9394,174.75,0.12118404
7.4343,174.75,0.11190026
7.9293,174.75,0.10341824
8.4242,174.75,0.09560003
8.9192,174.75,0.08834711
9.4141,174.75,0.08159010
9.9091,174.75,0.07528071
10.4040,174.75,0.06938533
10.8990,174.75,0.06388000
11.3939,174.75,0.05874648
11.8889,174.75,0.05396941
12.3838,174.75,0.04953443
12.8788,174.75,0.04542699
13.3737,174.75,0.04163178
13.8687,174.75,0.03813260
14.3636,174.75,0.03491252
14.8586,174.75,0.03195406
15.3535,174.75,0.02923962
15.8485,174.75,0.02675174
16.3434,174.75,0.02447338
16.8384,174.75,0.02238817
17.3333,174.75,0.02048055
17.8283,174.75,0.01873587
18.3232,174.75,0.01714047
18.8182,174.75,0.01568166
19.3131,174.75,0.01434776
19.8081,174.75,0.01312800
20.3030,174.75,0.01201253
20.7980,174.75,0.01099234
21.2929,174.75,0.01005919
21.7879,174.75,0.00920556
22.2828,174.75,0.00842460
22.7778,174.75,0.00771007
23.2727,174.75,0.00705626
23.7677,174.75,0.00645798
24.2626,174.75,0.00591047
