freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
41.624906,0.03692107,0.09579844,0.01129324,0.03888220,0.01170415
41.649662,0.03311226,0.10745574,0.01092826,0.04146428,0.01169283
41.674419,0.02999262,0.11555679,0.01059377,0.04442962,0.01169153
41.699175,0.02739885,0.11617184,0.01028663,0.04785526,0.01170023
41.723931,0.02521393,0.10880481,0.01000416,0.05183516,0.01171894
41.748687,0.02335232,0.09703733,0.00974400,0.05648140,0.01174773
41.773443,0.02175033,0.08468896,0.00950412,0.06192100,0.01178671
41.798200,0.02035968,0.07367188,0.00928275,0.06828146,0.01183602
41.822956,0.01914323,0.06445614,0.00907831,0.07565049,0.01189587
41.847712,0.01807195,0.05690879,0.00888945,0.08398258,0.01196649
41.872468,0.01712289,0.05074012,0.00871496,0.09291719,0.01204819
41.897224,0.01627765,0.04566688,0.00855376,0.10151507,0.01214130
41.921980,0.01552136,0.04145520,0.00840491,0.10811075,0.01224624
41.946737,0.01484184,0.03792273,0.00826758,0.11076635,0.01236346
41.971493,0.01422908,0.03492993,0.00814101,0.10848782,0.01249350
41.996249,0.01367472,0.03237023,0.00802455,0.10206460,0.01263697
42.021005,0.01317178,0.03016186,0.00791760,0.09340259,0.01279455
42.045761,0.01271436,0.02824151,0.00781965,0.08425845,0.01296701
42.070518,0.01229747,0.02655971,0.00773021,0.07566790,0.01315523
42.095274,0.01191683,0.02507737,0.00764889,0.06804781,0.01336018
42.120030,0.01156880,0.02376334,0.00757531,0.06146628,0.01358297
42.144786,0.01125021,0.02259249,0.00750916,0.05584022,0.01382485
42.169542,0.01095833,0.02154441,0.00745014,0.05103926,0.01408722
42.194299,0.01069080,0.02060234,0.00739801,0.04693135,0.01437165
42.219055,0.01044555,0.01975245,0.00735256,0.04339929,0.01467995
42.243811,0.01022077,0.01898320,0.00731360,0.04034466,0.01501414
42.268567,0.01001489,0.01828491,0.00728097,0.03768683,0.01537652
42.293323,0.00982652,0.01764943,0.00725457,0.03536034,0.01576971
42.318080,0.00965444,0.01706981,0.00723428,0.03331219,0.01619670
42.342836,0.00949758,0.01654013,0.00722004,0.03149939,0.01666093
42.367592,0.00935501,0.01605532,0.00721179,0.02988691,0.01716633
42.392348,0.00922589,0.01561098,0.00720952,0.02844606,0.01771748
42.417104,0.00910952,0.01520333,0.00721322,0.02715320,0.01831965
42.441860,0.00900525,0.01482906,0.00722293,0.02598873,0.01897902
42.466617,0.00891254,0.01448532,0.00723869,0.02493630,0.01970281
42.491373,0.00883092,0.01416958,0.00726058,0.02398220,0.02049957
42.516129,0.00875999,0.01387963,0.00728871,0.02311484,0.02137939
42.540885,0.00869942,0.01361355,0.00732320,0.02232440,0.02235438
42.565641,0.00864891,0.01336964,0.00736422,0.02160249,0.02343906
42.590398,0.00860827,0.01314638,0.00741196,0.02094194,0.02465107
42.615154,0.00857731,0.01294247,0.00746663,0.02033655,0.02601197
42.639910,0.00855594,0.01275674,0.00752850,0.01978098,0.02754834
42.664666,0.00854408,0.01258815,0.00759787,0.01927058,0.02929332
42.689422,0.00854173,0.01243582,0.00767507,0.01880131,0.03128858
42.714179,0.00854894,0.01229896,0.00776049,0.01836962,0.03358711
42.738935,0.00856579,0.01217688,0.00785456,0.01797242,0.03625700
42.763691,0.00859245,0.01206898,0.00795778,0.01760699,0.03938661
42.788447,0.00862910,0.01197477,0.00807071,0.01727092,0.04309157
42.813203,0.00867604,0.01189380,0.00819396,0.01696210,0.04752386
42.837959,0.00873357,0.01182574,0.00832825,0.01667866,0.05288227
42.862716,0.00880211,0.01177029,0.00847438,0.01641895,0.05942059
42.887472,0.00888213,0.01172723,0.00863325,0.01618150,0.06743969
42.912228,0.00897419,0.01169642,0.00880588,0.01596503,0.07722260
42.936984,0.00907895,0.01167775,0.00899343,0.01576838,0.08880638
42.961740,0.00919716,0.01167121,0.00919722,0.01559056,0.10139546
42.986497,0.00932970,0.01167683,0.00941877,0.01543069,0.11241381
43.011253,0.00947758,0.01169470,0.00965978,0.01528798,0.11752904
43.036009,0.00964197,0.01172500,0.00992224,0.01516176,0.11395514
43.060765,0.00982421,0.01176794,0.01020844,0.01505147,0.10375857
43.085521,0.01002586,0.01182383,0.01052100,0.01495660,0.09132159
43.110278,0.01024870,0.01189304,0.01086302,0.01487674,0.07957725
43.135034,0.01049482,0.01197604,0.01123809,0.01481156,0.06955484
43.159790,0.01076664,0.01207338,0.01165044,0.01476080,0.06130983
