freq_MHz,h2_opt_um,h2_opt_over_lambda,T_max,T_at_1um,T_at_5um,T_at_20um,T_at_50um
47.070140,0.1000,0.003138,1.33092602,0.96220165,0.38209060,0.00653209,0.00000173
47.228457,0.1000,0.003149,1.30415643,0.84395355,0.21288007,0.00350359,0.00000091
47.386774,0.1000,0.003159,1.27448049,0.52549889,0.10644091,0.00177306,0.00000046
47.545090,0.1000,0.003170,1.24294204,0.36306200,0.07062583,0.00117648,0.00000030
47.703407,0.1000,0.003180,1.21093993,0.27892610,0.05378024,0.00089284,0.00000022
47.861723,0.1000,0.003191,1.17992887,0.23104566,0.04450986,0.00073547,0.00000018
48.020040,0.1000,0.003201,1.15117179,0.20247758,0.03908041,0.00064234,0.00000016
48.178357,0.1000,0.003212,1.12558603,0.18574730,0.03596720,0.00058787,0.00000014
48.336673,0.1000,0.003222,1.10367886,0.17737468,0.03449142,0.00056052,0.00000013
48.494990,0.1000,0.003233,1.08554473,0.17590596,0.03438941,0.00055564,0.00000013
48.653307,0.1000,0.003244,1.07089572,0.18124129,0.03568056,0.00057321,0.00000013
48.811623,0.1000,0.003254,1.05910997,0.19463371,0.03868877,0.00061811,0.00000014
48.969940,0.1000,0.003265,1.04929754,0.21938440,0.04424885,0.00070328,0.00000016
49.128257,0.1000,0.003275,1.04039336,0.26297689,0.05438092,0.00086043,0.00000019
49.286573,0.1000,0.003286,1.03128687,0.34337731,0.07477549,0.00117953,0.00000026
49.444890,0.1000,0.003296,1.02098515,0.50766234,0.12815001,0.00202229,0.00000044
49.603206,0.1000,0.003307,1.00878381,0.80659338,0.36587179,0.00558248,0.00000119
49.761523,0.1000,0.003317,0.99439999,0.70196720,0.17394558,0.00255393,0.00000054
49.919840,0.1000,0.003328,0.97802073,0.42528322,0.08429606,0.00125583,0.00000026
50.078156,0.1000,0.003339,0.96024646,0.29163846,0.05579470,0.00083139,0.00000017
50.236473,0.1000,0.003349,0.94194958,0.22355575,0.04249561,0.00063113,0.00000013
50.394790,0.1000,0.003360,0.92409730,0.18492853,0.03516618,0.00051987,0.00000010
50.553106,0.1000,0.003370,0.90759025,0.16176189,0.03083894,0.00045352,0.00000009
50.711423,0.1000,0.003381,0.89314746,0.14795208,0.02830504,0.00041396,0.00000008
50.869739,0.1000,0.003391,0.88124291,0.14063102,0.02701760,0.00039289,0.00000007
51.028056,0.1000,0.003402,0.87208217,0.13851769,0.02674493,0.00038669,0.00000007
51.186373,0.1000,0.003412,0.86560347,0.14132169,0.02745486,0.00039469,0.00000007
51.344689,0.1000,0.003423,0.86149238,0.14963383,0.02930391,0.00041891,0.00000008
51.503006,0.1000,0.003434,0.85920802,0.16521831,0.03272304,0.00046527,0.00000008
51.661323,0.1000,0.003444,0.85802646,0.19198425,0.03869810,0.00054749,0.00000010
51.819639,0.1000,0.003455,0.85711101,0.23872264,0.04966648,0.00069976,0.00000012
51.977956,0.1000,0.003465,0.85561520,0.32745155,0.07319867,0.00102897,0.00000018
52.136273,0.1000,0.003476,0.85281138,0.51629892,0.14719311,0.00207240,0.00000036
52.294589,0.1000,0.003486,0.84822063,0.75475852,0.34928479,0.00442789,0.00000075
52.452906,0.1000,0.003497,0.84170648,0.51468143,0.10990982,0.00145443,0.00000024
52.611222,0.1000,0.003507,0.83349948,0.32146230,0.06155784,0.00082000,0.00000014
52.769539,0.1000,0.003518,0.82414239,0.23084754,0.04343713,0.00057770,0.00000009
52.927856,0.1000,0.003529,0.81437586,0.18297177,0.03436435,0.00045526,0.00000007
53.086172,0.1000,0.003539,0.80500242,0.15521428,0.02921084,0.00038511,0.00000006
53.244489,0.1000,0.003550,0.79676506,0.13855071,0.02616217,0.00034309,0.00000005
53.402806,0.1000,0.003560,0.79026030,0.12892963,0.02444291,0.00031878,0.00000005
53.561122,0.1000,0.003571,0.78588784,0.12444717,0.02370139,0.00030736,0.00000005
53.719439,0.1000,0.003581,0.78382782,0.12432648,0.02380557,0.00030696,0.00000005
53.877756,0.1000,0.003592,0.78403517,0.12856805,0.02477972,0.00031772,0.00000005
54.036072,0.1000,0.003602,0.78624432,0.13795483,0.02681717,0.00034194,0.00000005
54.194389,0.1000,0.003613,0.78998484,0.15441847,0.03038221,0.00038533,0.00000006
54.352705,0.1000,0.003624,0.79461483,0.18210837,0.03651690,0.00046085,0.00000007
54.511022,0.1000,0.003634,0.79938166,0.23038690,0.04783384,0.00060119,0.00000008
54.669339,0.1000,0.003645,0.80351572,0.32308825,0.07277943,0.00091258,0.00000013
54.827655,0.1000,0.003655,0.80635051,0.52223097,0.15772925,0.00197764,0.00000027
54.985972,0.1000,0.003666,0.80744567,0.72135091,0.28527775,0.00324371,0.00000044
55.144289,0.1000,0.003676,0.80667784,0.46743353,0.09575792,0.00113636,0.00000015
55.302605,0.1000,0.003687,0.80426758,0.29824945,0.05617712,0.00066958,0.00000009
55.460922,0.1000,0.003697,0.80073264,0.21841041,0.04060811,0.00048296,0.00000006
55.619238,0.1000,0.003708,0.79678469,0.17579425,0.03267009,0.00038696,0.00000005
55.777555,0.1000,0.003719,0.79320404,0.15106782,0.02815083,0.00033180,0.00000004
55.935872,0.1000,0.003729,0.79072535,0.13642220,0.02551724,0.00029917,0.00000004
56.094188,0.1000,0.003740,0.78995279,0.12833597,0.02410851,0.00028111,0.00000003
56.252505,0.1000,0.003750,0.79130719,0.12518551,0.02363167,0.00027401,0.00000003
56.410822,0.1000,0.003761,0.79499748,0.12638326,0.02399374,0.00027665,0.00000003
56.569138,0.1000,0.003771,0.80100739,0.13210571,0.02525545,0.00028957,0.00000003
56.727455,0.1000,0.003782,0.80909207,0.14336314,0.02765871,0.00031538,0.00000004
56.885772,0.1000,0.003792,0.81878689,0.16246740,0.03175429,0.00036017,0.00000004
57.044088,0.1000,0.003803,0.82943669,0.19433667,0.03877760,0.00043767,0.00000005
57.202405,0.1000,0.003813,0.84025714,0.25016865,0.05189282,0.00058325,0.00000007
57.360721,0.1000,0.003824,0.85043505,0.35884148,0.08180522,0.00091704,0.00000010
57.519038,0.1000,0.003835,0.85926057,0.59071671,0.19245269,0.00214706,0.00000024
57.677355,0.1000,0.003845,0.86626503,0.74342618,0.24187965,0.00250093,0.00000027
57.835671,0.1000,0.003856,0.87132429,0.46774477,0.09265179,0.00098843,0.00000011
57.993988,0.1000,0.003866,0.87469207,0.30738344,0.05711489,0.00061073,0.00000007
58.152305,0.1000,0.003877,0.87695143,0.23040515,0.04240081,0.00045216,0.00000005
58.310621,0.1000,0.003887,0.87890347,0.18887780,0.03477694,0.00036927,0.00000004
58.468938,0.1000,0.003898,0.88143080,0.16491080,0.03046040,0.00032184,0.00000003
58.627255,0.1000,0.003908,0.88537137,0.15115105,0.02803366,0.00029463,0.00000003
58.785571,0.1000,0.003919,0.89142235,0.14428849,0.02688630,0.00028104,0.00000003
58.943888,0.1000,0.003930,0.90007609,0.14287833,0.02676564,0.00027823,0.00000003
59.102204,0.1000,0.003940,0.91158031,0.14657164,0.02763084,0.00028563,0.00000003
59.260521,0.1000,0.003951,0.92591319,0.15593404,0.02962817,0.00030459,0.00000003
59.418838,0.1000,0.003961,0.94277011,0.17267821,0.03315935,0.00033905,0.00000003
59.577154,0.1000,0.003972,0.96156786,0.20050491,0.03911175,0.00039783,0.00000004
59.735471,0.1000,0.003982,0.98148056,0.24739665,0.04955013,0.00050157,0.00000005
59.893788,0.1000,0.003993,1.00152417,0.33225957,0.07022946,0.00070797,0.00000007
60.052104,0.1000,0.004003,1.02069738,0.50459587,0.12396827,0.00124549,0.00000011
60.210421,0.1000,0.004014,1.03816450,0.82081765,0.34603582,0.00333065,0.00000030
60.368737,0.1000,0.004025,1.05343775,0.73578276,0.17109096,0.00163062,0.00000014
60.527054,0.1000,0.004035,1.06650101,0.46046412,0.08709099,0.00083910,0.00000007
60.685371,0.1000,0.004046,1.07783010,0.32551286,0.05969482,0.00057461,0.00000005
60.843687,0.1000,0.004056,1.08830395,0.25720186,0.04697371,0.00045051,0.00000004
61.002004,0.1000,0.004067,1.09904161,0.21945363,0.04015731,0.00038335,0.00000003
61.160321,0.1000,0.004077,1.11121780,0.19821955,0.03641021,0.00034581,0.00000003
61.318637,0.1000,0.004088,1.12589955,0.18749708,0.03460303,0.00032690,0.00000003
61.476954,0.1000,0.004098,1.14392109,0.18469872,0.03427438,0.00032204,0.00000003
61.635271,0.1000,0.004109,1.16579403,0.18907026,0.03531683,0.00033002,0.00000003
61.793587,0.1000,0.004120,1.19164103,0.20125856,0.03790637,0.00035229,0.00000003
61.951904,0.1000,0.004130,1.22114705,0.22357181,0.04258616,0.00039364,0.00000003
62.110220,0.1000,0.004141,1.25353691,0.26114512,0.05059117,0.00046518,0.00000004
62.268537,0.1000,0.004151,1.28760470,0.32518281,0.06485223,0.00059332,0.00000005
62.426854,0.1000,0.004162,1.32183002,0.44212643,0.09369947,0.00085321,0.00000006
62.585170,0.1000,0.004172,1.35460366,0.67576082,0.16996659,0.00153797,0.00000012
62.743487,0.1000,0.004183,1.38454316,1.01486640,0.36723017,0.00316812,0.00000023
62.901804,0.1000,0.004193,1.41081978,0.82773681,0.17960577,0.00156227,0.00000011
63.060120,0.1000,0.004204,1.43338126,0.54387910,0.10210028,0.00089295,0.00000006
63.218437,0.1000,0.004215,1.45297895,0.40022651,0.07321021,0.00063902,0.00000005
63.376754,0.1000,0.004225,1.47098866,0.32561857,0.05933596,0.00051585,0.00000004
63.535070,0.1000,0.004236,1.48909703,0.28494313,0.05202981,0.00045018,0.00000003
63.693387,0.1000,0.004246,1.50895583,0.26389800,0.04839362,0.00041658,0.00000003
63.851703,0.1000,0.004257,1.53187906,0.25649752,0.04730618,0.00040506,0.00000003
64.010020,0.1000,0.004267,1.55860911,0.26073475,0.04844023,0.00041255,0.00000003
64.168337,0.1000,0.004278,1.58914699,0.27730366,0.05202073,0.00044065,0.00000003
64.326653,0.1000,0.004288,1.62264385,0.30990055,0.05895084,0.00049668,0.00000003
64.484970,0.1000,0.004299,1.65738085,0.36734865,0.07145791,0.00059886,0.00000004
64.643287,0.1000,0.004310,1.69089986,0.46970091,0.09528829,0.00079435,0.00000005
64.801603,0.1000,0.004320,1.72035370,0.66294520,0.14841904,0.00122952,0.00000008
