freq_MHz,T_t0,T_t1,T_t2,T_t3,T_t4,T_t5
22.583722,0.01145285,0.10112026,0.22445396,0.36794142,0.53623043,0.73364531
22.587725,0.01127403,0.09969364,0.22142523,0.36321142,0.52987410,0.72605128
22.591728,0.01110021,0.09830330,0.21846958,0.35858611,0.52363774,0.71856404
22.595730,0.01093123,0.09694813,0.21558499,0.35406316,0.51751978,0.71118406
22.599733,0.01076692,0.09562708,0.21276950,0.34964022,0.51151858,0.70391155
22.603736,0.01060711,0.09433910,0.21002118,0.34531497,0.50563239,0.69674656
22.607738,0.01045166,0.09308321,0.20733813,0.34108509,0.49985943,0.68968895
22.611741,0.01030042,0.09185840,0.20471852,0.33694829,0.49419782,0.68273842
22.615744,0.01015323,0.09066374,0.20216055,0.33290230,0.48864567,0.67589452
22.619746,0.01000996,0.08949830,0.19966246,0.32894488,0.48320105,0.66915666
22.623749,0.00987048,0.08836120,0.19722254,0.32507385,0.47786198,0.66252416
22.627752,0.00973466,0.08725155,0.19483914,0.32128702,0.47262651,0.65599620
22.631755,0.00960237,0.08616853,0.19251063,0.31758229,0.46749263,0.64957188
22.635757,0.00947349,0.08511133,0.19023546,0.31395757,0.46245838,0.64325023
22.639760,0.00934791,0.08407916,0.18801209,0.31041082,0.45752174,0.63703019
22.643763,0.00922553,0.08307126,0.18583904,0.30694004,0.45268077,0.63091064
22.647765,0.00910622,0.08208690,0.18371489,0.30354330,0.44793347,0.62489040
22.651768,0.00898989,0.08112537,0.18163825,0.30021867,0.44327791,0.61896825
22.655771,0.00887645,0.08018599,0.17960776,0.29696432,0.43871216,0.61314291
22.659773,0.00876579,0.07926810,0.17762212,0.29377843,0.43423430,0.60741309
22.663776,0.00865783,0.07837105,0.17568006,0.29065923,0.42984245,0.60177746
22.667779,0.00855248,0.07749423,0.17378036,0.28760500,0.42553476,0.59623466
22.671781,0.00844966,0.07663705,0.17192184,0.28461408,0.42130938,0.59078332
22.675784,0.00834928,0.07579893,0.17010333,0.28168483,0.41716454,0.58542204
22.679787,0.00825126,0.07497931,0.16832374,0.27881566,0.41309844,0.58014944
22.683789,0.00815554,0.07417766,0.16658199,0.27600504,0.40910936,0.57496409
22.687792,0.00806204,0.07339346,0.16487702,0.27325147,0.40519560,0.56986460
22.691795,0.00797068,0.07262621,0.16320784,0.27055349,0.40135547,0.56484955
22.695797,0.00788142,0.07187542,0.16157347,0.26790969,0.39758734,0.55991754
22.699800,0.00779417,0.07114064,0.15997296,0.26531868,0.39388961,0.55506716
22.703803,0.00770889,0.07042141,0.15840541,0.26277914,0.39026071,0.55029702
22.707805,0.00762550,0.06971729,0.15686991,0.26028976,0.38669910,0.54560573
22.711808,0.00754396,0.06902787,0.15536563,0.25784929,0.38320328,0.54099191
22.715811,0.00746420,0.06835274,0.15389172,0.25545649,0.37977178,0.53645420
22.719813,0.00738618,0.06769151,0.15244740,0.25311019,0.37640316,0.53199124
22.723816,0.00730985,0.06704379,0.15103187,0.25080923,0.37309602,0.52760171
22.727819,0.00723515,0.06640923,0.14964439,0.24855248,0.36984900,0.52328427
22.731821,0.00716204,0.06578746,0.14828423,0.24633886,0.36666076,0.51903763
22.735824,0.00709047,0.06517815,0.14695069,0.24416732,0.36352998,0.51486050
22.739827,0.00702040,0.06458096,0.14564308,0.24203682,0.36045541,0.51075160
22.743829,0.00695178,0.06399558,0.14436075,0.23994637,0.35743580,0.50670969
22.747832,0.00688458,0.06342170,0.14310305,0.23789500,0.35446993,0.50273353
22.751835,0.00681876,0.06285901,0.14186936,0.23588178,0.35155662,0.49882192
22.755837,0.00675427,0.06230724,0.14065909,0.23390579,0.34869473,0.49497366
22.759840,0.00669109,0.06176608,0.13947165,0.23196615,0.34588312,0.49118757
22.763843,0.00662917,0.06123529,0.13830647,0.23006200,0.34312070,0.48746251
22.767845,0.00656848,0.06071459,0.13716302,0.22819250,0.34040641,0.48379734
22.771848,0.00650900,0.06020373,0.13604076,0.22635685,0.33773920,0.48019095
22.775851,0.00645068,0.05970247,0.13493918,0.22455425,0.33511805,0.47664225
22.779853,0.00639349,0.05921056,0.13385778,0.22278395,0.33254198,0.47315016
22.783856,0.00633742,0.05872778,0.13279608,0.22104520,0.33001003,0.46971364
22.787859,0.00628242,0.05825391,0.13175361,0.21933727,0.32752124,0.46633165
22.791861,0.00622846,0.05778872,0.13072992,0.21765947,0.32507471,0.46300318
22.795864,0.00617554,0.05733201,0.12972457,0.21601112,0.32266955,0.45972724
22.799867,0.00612361,0.05688358,0.12873712,0.21439156,0.32030488,0.45650286
22.803869,0.00607265,0.05644322,0.12776718,0.21280013,0.31797985,0.45332908
22.807872,0.00602264,0.05601075,0.12681433,0.21123623,0.31569364,0.45020497
22.811875,0.00597355,0.05558599,0.12587819,0.20969923,0.31344544,0.44712961
22.815877,0.00592537,0.05516875,0.12495837,0.20818856,0.31123447,0.44410211
22.819880,0.00587806,0.05475886,0.12405451,0.20670362,0.30905996,0.44112160
22.823883,0.00583161,0.05435615,0.12316625,0.20524388,0.30692116,0.43818720
22.827885,0.00578600,0.05396046,0.12229325,0.20380878,0.30481735,0.43529809
22.831888,0.00574121,0.05357163,0.12143517,0.20239780,0.30274783,0.43245343
22.835891,0.00569722,0.05318950,0.12059169,0.20101043,0.30071189,0.42965242
22.839893,0.00565400,0.05281393,0.11976247,0.19964616,0.29870886,0.42689426
22.843896,0.00561155,0.05244476,0.11894723,0.19830451,0.29673810,0.42417819
22.847899,0.00556983,0.05208187,0.11814565,0.19698501,0.29479895,0.42150345
22.851901,0.00552885,0.05172511,0.11735744,0.19568719,0.29289079,0.41886930
